T_in,T_out,Q_DC,Q_exh,Q_tot
100,100,0,0,0
100,110,410,401,811
100,120,410,401,811
100,130,410,401,811
100,140,410,401,811
100,150,410,401,811
100,160,410,392,802
100,170,410,381,791
100,180,410,371,781
100,190,410,361,771
100,200,394,350,744
110,100,0,0,0
110,110,0,0,0
110,120,410,401,811
110,130,410,401,811
110,140,410,401,811
110,150,410,401,811
110,160,410,400.6,810.6
110,170,410,389.3,799.3
110,180,410,378.5,788.5
110,190,410,368,778
110,200,372.2,355.3,727.5
120,100,0,0,0
120,110,0,0,0
120,120,0,0,0
120,130,410,401,811
120,140,410,401,811
120,150,410,401,811
120,160,410,401,811
120,170,410,397,807
120,180,410,386,796
120,190,403,375,778
120,200,348,361,709
130,100,0,0,0
130,110,0,0,0
130,120,0,0,0
130,130,0,0,0
130,140,410,401,811
130,150,410,401,811
130,160,410,401,811
130,170,410,401,811
130,180,410,393.9,803.9
130,190,375.7,380.9,756.6
130,200,321.8,366,687.8
140,100,0,0,0
140,110,0,0,0
140,120,0,0,0
140,130,0,0,0
140,140,0,0,0
140,150,410,401,811
140,160,410,401,811
140,170,410,401,811
140,180,410,401,811
140,190,345,387,732
140,200,292,372,664
150,100,0,0,0
150,110,0,0,0
150,120,0,0,0
150,130,0,0,0
150,140,0,0,0
150,150,0,0,0
150,160,410,401,811
150,170,410,401,811
150,180,373.3,401,774.3
150,190,309.6,393.3,702.9
150,200,258.4,378,636.4
160,100,0,0,0
160,110,0,0,0
160,120,0,0,0
160,130,0,0,0
160,140,0,0,0
160,150,0,0,0
160,160,0,0,0
160,170,410,401,811
160,180,331,401,732
160,190,268,400,668
160,200,216,384,600
170,100,0,0,0
170,110,0,0,0
170,120,0,0,0
170,130,0,0,0
170,140,0,0,0
170,150,0,0,0
170,160,0,0,0
170,170,0,0,0
170,180,283,401,684
170,190,218,401,619
170,200,173,391,564
180,100,0,0,0
180,110,0,0,0
180,120,0,0,0
180,130,0,0,0
180,140,0,0,0
180,150,0,0,0
180,160,0,0,0
180,170,0,0,0
180,180,0,0,0
180,190,153,401,554
180,200,115,399,514
