Utility Characteristics,,,,,,,IEEE Standard,,,,,,,,,,,,Other Standard,,,,,,,,,,,,
Data Year,Utility Number,Name Matched to Rate Labels,Utility Name,State,Ownership,Short Form,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically,,146.833
2019,84,,A & N Electric Coop,MD,Cooperative,,.,.,.,.,.,.,.,.,.,.,.,,1.900,0.004,475.000,0.200,0.002,100.000,310,Y,O,12.5,N,,
2019,84,,A & N Electric Coop,VA,Cooperative,,.,.,.,.,.,.,.,.,.,.,.,,83.400,1.300,64.154,82.000,1.200,68.333,"36,044",Y,O,24.9,N,,
2019,97,,Adams Electric Coop,IL,Cooperative,,169.740,1.290,131.581,169.740,1.290,131.581,110.900,0.409,271.149,"8,665",12.5,Y,.,.,.,.,.,.,.,,,.,,,
2019,108,,Adams-Columbia Electric Coop,WI,Cooperative,,139.900,0.950,147.263,139.900,0.950,147.263,129.300,0.871,148.450,"37,405",12.0,Y,.,.,.,.,.,.,.,,,.,,,
2019,155,,Agralite Electric Coop,MN,Cooperative,,130.931,1.202,108.928,128.759,1.181,109.025,113.066,0.913,123.840,"5,367",12.4,Y,.,.,.,.,.,.,.,,,.,,,
2019,162,,Aiken Electric Coop Inc,SC,Cooperative,,228.980,.,.,97.720,.,.,226.860,.,.,"47,255",25.0,Y,.,.,.,.,.,.,.,,,.,,,
2019,195,,Alabama Power Co,AL,Investor Owned,,.,.,.,.,.,.,.,.,.,.,.,,176.200,1.319,133.586,127.100,1.088,116.820,"1,484,464",N,F,34.5,Y,,
2019,207,,City of Alameda,CA,Municipal,,94.600,1.070,88.411,.,.,.,.,.,.,"35,442",12.0,Y,.,.,.,.,.,.,.,,,.,,,
2019,213,,Alaska Electric Light&Power Co,AK,Investor Owned,,142.000,3.080,46.104,79.000,2.080,37.981,41.000,0.740,55.405,"16,768",12.5,N,.,.,.,.,.,.,.,,,.,,,
2019,219,,Alaska Power and Telephone Co,AK,Investor Owned,,.,.,.,.,.,.,.,.,.,.,.,,312.720,8.889,35.181,.,.,.,"8,133",N,L,12.5,Y,,
